ID товара,Наименование,Цена,Город,Промо цена,Ссылка
3335281,Хлебцы ПП ржано-пшеничные с томатом и базиликом 100г,"73,50 ₽",Москва и Московская область,"50,90 ₽",https://www.detmir.ru/product/index/id/3335281/
3604586,Хлебцы Ого! кукурузные 75г,"27,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3604586/
3286036,Орехи Семушка кешью сушеный 40г,"108,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286036/
3276024,Снек Marc&Фиса Фрустики абрикос-тыква 15г с 1года,"32,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3276024/
3276025,Снек Marc&Фиса Фрустики банан-петрушка 15г с 1года,"32,90 ₽",Москва и Московская область,"15,90 ₽",https://www.detmir.ru/product/index/id/3276025/
3277086,Снеки Зеленика сушеная вишня 25 г,"195,50 ₽",Москва и Московская область,"146,90 ₽",https://www.detmir.ru/product/index/id/3277086/
3889786,Гематоген Народный с витамином С 40г,"18,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3889786/
3433308,Чипсы DrKorner цельнозерновые кукурузно-рисовые с паприкой и чили 50г,"48,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433308/
3296381,Снеки LittleAngel Angelina органические кукурузные с морковью и яблоком 30г,"173,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3296381/
3276026,Снек Marc&Фиса Фрустики груша-морковь 15г с 1года,"32,90 ₽",Москва и Московская область,"15,90 ₽",https://www.detmir.ru/product/index/id/3276026/
3426687,Батончик-мюсли Actifruit злаковый Карамель 24г,"25,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3426687/
3794838,Батончик BE-KIND орехи-мед-морская соль 30г,"119,90 ₽",Москва и Московская область,"107,90 ₽",https://www.detmir.ru/product/index/id/3794838/
3296416,Снеки Biosaurus органические кукурузные со вкусом сыра 15г,"85,30 ₽",Москва и Московская область,"59,90 ₽",https://www.detmir.ru/product/index/id/3296416/
3294944,Батончик Рототайка на фруктозе клубника 27г,"26,90 ₽",Москва и Московская область,"22,90 ₽",https://www.detmir.ru/product/index/id/3294944/
3286845,Слайс Take a Bite из зеленой гречки с томатами и розмарином 100г,"179,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286845/
3322301,Батончик Дары Памира Шелковица с Памира шелковица-миндаль 20г,"55,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3322301/
